commentaires;notes
Contemporary, fresh and blissful respite!;8.0
Not for a light sleeper;7.5
A nice stay!;9.0
very clean, perfect location, excellent service and quite nice staffs;9.0
Last minute booking at stylish hotel;9.0
Great place for small to mix size people and who do not need laundry service.;7.0
london Ideal location for central;9.0
A lovely boutique hotel convenient to our purpose of stay.;8.0
Perfectly fine, just a bit noisy;7.0
Great hotel in great location with friendly staff. Breakfast offer needs a re-think.;8.0
a good value for money;8.0
Comfy for short stays;7.0
excellent hotel. will use again;8.0
amazing stay, I will be back to stay again soon!;9.0
Good;7.0
Superb;9.0
loved it and would book again;9.0
staff lovely and location fab but room too small;7.0
Great for a one night stay;9.0
Amazing place;9.0
I will be returning to this lovely, comfortable and relaxing place to stay.;9.0
Great location, relaxing hotel;8.0
cozy smart friendly hotel;9.0
Pleasant, I don’t think good value though;8.0
nice, cool, clean hotel, nearby to lovely places;9.0
Comfortable and good value;9.0
null;9.0
Great stay in the centre of London;9.0
convenient location, Friendly staff and overall comfortable atmosphere. Ideal for short stay.;8.0
Good;7.0
Very good;8.0
Superb;9.0
nice;7.0
Good;7.0
A home for myself ?and my furry friend!!;8.0
Superb;9.0
good place to stay for short visit;9.0
comfortable, clean and great value!;8.0
Superb;9.0
Would definitely stay again. What a lovely place (that just needs to sort communication problem :));8.0
A relaxing space. Would happily stay again;8.0
Very good;8.0
Very good;8.0
ok;7.0
Very pleasant indeed;9.0
Nice Hotel;8.0
I’ll definitely come again;9.0
Fantastic hotel, modern, zen, in great location.;8.0
Excellent stay! The staff are lovely and helpful and the hotel is gorgeous.;9.0
reception staff helpful;8.0
Very good;8.0
Very relaxed start to 2022, great reading material and chilled vibe;9.0
lovely boutique hotel;7.0
Good;7.0
Very good;8.0
Clean Hotel but rooms are only for 1 person;7.0
enjoyable and relaxing central stay.;8.0
Very good;8.0
Highly Recommended;9.0
We always have an amazing peaceful stay at inhabit.;9.0
Everything was perfect and I will be back to the hotel;8.0
Good;7.0
Very good;8.0
Superb;9.0
Superb;9.0
Pleasant will definitely stay again;8.0
Clean friendly comfortable stay;9.0
very pleasant stay.;9.0
basic but clean;7.0
stylish, comfortable and reasonable stay with nice added touches (herbal teas, meditation pod etc.);8.0
Superb;9.0
Beautiful hotel in a wonderful location;8.0
very nice modern and clean hotel. ideal location for all the major sights and near to tube and local facilities;8.0
Good stay.;7.0
Convenient zen refuge of tranquility, in the heart of London but a sanctuary into which to retreat.;9.0
Superb;9.0
Cozy, calm and convenient;9.0
Superb;9.0
Great stay, will book again!;9.0
Great location, very clean and quiet.;7.0
loved the hotel. not sure about Booking.com;9.0
Would definitely go again;7.0
Very good;8.0
Superb;9.0
very enjoyable as always;8.0
values driven oasis;9.0
Superb;9.0
Superb;9.0
Good;7.0
Superb;9.0
all in all a good place to stay;9.0
"Was in a great location; however, wouldnt stay again.";7.0
"Beautifully designed rooms, good location, unusual layout""";7.0
Good place to sleep, the beds were super comfortable.;7.0
Very good;8.0
great place overall, with small details to improve;9.0
Very good;8.0
Excellent staff, clean room. Had I known in advance our room did not have a window we would not have stayed.;7.0
Very good;8.0
modern, clean, comfortable, value for money;9.0
Nice find;8.0
Nice place but small rooms.;8.0
Very happy, likely to return;9.0
Superb;9.0
Very good;8.0
Living in a box.;7.0
Almost perfect, but might leave you hungry;9.0
Happy to recommend this place with fair value for money - very helpful staff at the reception;7.0
Very good;8.0
homelike atmosphere;9.0
Superb;9.0
really comfortable;9.0
Excellent boutique hotel;9.0
Great hotel in a nice location;8.0
Nice and cozy!;9.0
chilled vibe to a very well designed small hotel;9.0
Excellent hotel - highly recommended, will definitely be back!;9.0
Fantastic room in a fantastic location !;9.0
Ok;7.0
Cute little hotel, great location;9.0
one night stay for business. would have found room too cramped if there was more than one of me.;7.0
Tranquil stay;9.0
Relaxed modern vibe within easy walk of transport and beautiful Hyde park - great value for relaxed get away;7.0
I’d definitely recommend the hotel to solo travellers. Great value for two weekend nights in central London.;8.0
Very comfortable and great value.;9.0
A unique, amazing experience made all the more wonderful by the staff;9.0
Good;7.0
Very good;8.0
good location for central london;7.0
Good;7.0
hotel is clean, modern, and convenient;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Friendly staff;9.0
Relaxing stay;9.0
Was nearly excellent but not quite.;7.0
Superb;9.0
A great stay, I would definitely come back again!;9.0
Superb;9.0
My room was tiny but very quiet and comfortable.  The staff was exceptional.;9.0
Lovely couple of nights;9.0
Superb location, stylish and clean, with very helpful staff.;7.0
nice hotel, bad area;7.0
fantastic;9.0
great value for money;8.0
fantastic;9.0
Lovely short stay in central London;9.0
Great relaxing stay;9.0
Great place to stay, even for several nights;9.0
Great hotel.;9.0
Very good;8.0
Modern & Clean;9.0
Calm. Zen. Serene oasis.;9.0
Superb;9.0
Good;7.0
Would definitely book again.;9.0
Over all good;7.0
Lovely welcoming clean and comfortable.;9.0
Just what we needed prior to USA travel from Heathrow;8.0
Good;7.0
Excellent stay;9.0
would happily stay here again for a London visit;9.0
Compact;7.0
Very good;8.0
Superb;9.0
Very good;8.0
Great value modem hotel;9.0
Good Value;8.0
Excellent stay;9.0
Comfortable;8.0
Lovely and cozy;9.0
Good;7.0
Good hotel but could of been better!;7.0
Very good;8.0
Good;7.0
A minimalist’s dream;9.0
Good stay for a good price!;8.0
good and comfy and hotel is cozy.;8.0
Superb;9.0
Excellent base from which to explore London. Location is fab.;9.0
Lovely Hotel;9.0
Lovely clean and new hotel;8.0
Lovely hotel!;8.0
Awesome hotel, great concept for relaxation;9.0
Highly recommend;8.0
Lovely little hotel;9.0
Good;7.0
Fine for one night. I'd want a bit more space for a longer stay.;7.0
Great Design, cozy for a nights stay;9.0
Very good;8.0
Comfortable;7.0
Very good;8.0
Lovely location and hotel. Hard to find parking so unload bags then Go and park;8.0
Great stay;8.0
Weekend in London;7.0
Clean with great staff that do their very best to accommodate any specific needs you may have.  Excellent and friendly.;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Perfect place for a quick stop over.;8.0
Wonderful place;9.0
Superb;9.0
All too brief;9.0
great but no baggage storage;7.0
Good hotel and very good staff;7.0
Nice little hotel located relatively close to the center;8.0
Very good;8.0
A nice and convenient hotel to explore London from Zone 2;8.0
Inhabit;7.0
Very comfortable bed. Terrific location. Rooms were a bit smaller than the photos suggested.;8.0
Really good stay choice for a weekend in London;9.0
Lovely boutique style hotel;7.0
Comfy and good location.;7.0
Pleasant stay and would definitely consider staying again.;9.0
Superb;9.0
Pleasant;6.7
Great little find!;8.0
Superb;9.0
Superb;9.0
A beautifully decorated hotel in the heart of Paddington;9.0
Lovely Place;8.0
Good;7.0
Very good;8.0
Good;7.0
Ok option in London;7.0
Lovely little hotel;9.0
Very good;8.0
The perfect inner city oasis.;8.0
Great value for money. Really sweet staff.;8.0
An oasis of calm.;9.0
Very good;8.0
Good;7.0
2nd Time Lucky;8.0
Cute, cosy and affordable stay :);9.0
Superb;9.0
Good location and value for money but some improvements needed;8.0
Squeaky clean;9.0
Superb;9.0
Gorgeous hotel;8.0
Small and friendly hotel.;7.0
Clean;8.0
Very google location, a bit weird the neighbourhood during the night;7.0
Very good;8.0
Superb;9.0
Good;7.0
Lovely stay;8.0
Lovely hotel, would definitely recommend and would stay again;9.0
Very good;8.0
Good value for money;7.0
Superb;9.0
Nice stay;7.0
Small, clean and freindly hotel in a great location.;8.0
Superb;9.0
Nice enough hotel , well located easy access to Hyde park and tube stations .;7.0
Convenient, nicely decorated boutique hotel.;8.0
A piece of Peace in the new normal. I left feeling recharged and grateful, will visit again.;9.0
The staff ware amazing;9.0
Great, thank you!;8.0
Wonderful staff, sadly didn’t get to use the facilities or try the breakfast on offer, but even if they hadn’t been ther;8.0
Great;9.0
Relaxing (bar the noise)!;7.0
Refreshingly brilliant;8.0
An excellent oasis of calm in busy London!;9.0
Very good;8.0
Unexpected;7.0
Excellent staff, beautiful rooms and perfect location;9.0
Superb;9.0
Wonderful location trouble with AC;8.0
Perfect location/staff/hotel!;9.0
A very pleasant stay...& I will stay here again!;8.0
Perfect wellness retreat in the middle of London;9.0
really stylish small boutique hotel close to Paddington station, gardens and amenties- great stay;9.0
Lovely hotel, great location, slightly small;8.0
Superb;9.0
Gorgeous hotel with small compact rooms;8.0
Very good;8.0
Contemporary affordable boutique hotel;9.0
Superb;9.0
Very good;8.0
I would like to know the pillow supplier because my sleeps were wonderful! I will stay here again!;8.0
Superb;9.0
A lovely hidden Gem away from the intense hustle and bustle of London.;9.0
Great for what we were after.;7.0
Enjoyable and great staff;8.0
Eco-friendly hotel;7.0
Friendly staff;9.0
Excellent value and style.;9.0
Very good;8.0
New house, friendly staff;9.0
The hotel location and facilities are brilliant . The receptionist Angelo was very helpful & friendly . I strongly r;9.0
Very nice designer hotel, highly recommended;9.0
Clean & Calming exactly as promised.;8.0
This hotel is all about rest and relaxation! Fabulous!;9.0
A lovely quiet friendly hotel;9.0
Very good;8.0
Superb;9.0
February 2020;9.0
Pleasant;6.7
Feel free to be calm;9.0
the hotel make u comfortable, people are nice and cooprative;9.0
Not bed but cloud.;9.0
Good;7.5
Good;7.1
Superb;9.0
Homely but Hot;9.2
Fabulous;8.8
Refreshing but perhaps a bit too basic for business travelers;7.9
Bang average.;7.0
Superb location excellent staff and wonderful environment;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Fabulous;8.8
Not rush back any time soon.;8.3
Stylish and different;7.5
Well thought out comfortable hotel;7.5
Good;7.9
Very good;8.0
Good;7.5
Good;7.0
Very good;8.0
Superb;9.0
Superb;9.0
Fabulous;8.8
London city break;7.5
Value for money modern hotel in central location.;7.0
Pleasant;6.7
Nice, But ...;8.8
Good value for money.;8.0
Pleasant;6.7
Lovely! And design is soothing, colors/textures.;8.0
Good;7.1
Very nice hotel;8.8
Superb;9.0
Fabulous;8.8
Would stay again;9.2
Very good;8.0
Very good;8.0
Good;7.0
Perfect for a short trip to London;9.0
Good value for money, very clean and crisp!;9.0
Good;7.0
Pleasant;6.7
Clean, modern and friendly staff, would recommend once construction finished.;8.0
Perfect for single business travel stays.;8.0
Superb;9.0
Peaceful and pleasant, a refreshing spot in the city.;9.0
Superb;9.0
Superb;9.0
Great hotwl;8.0
Beautiful place, that could be more customer focus...;7.0
Superb;9.0
Relaxing retreat in the city;9.0
Superb;9.0
Would recommend;8.0
Good;7.5
Excellent and even better as we did not book and just arrived unexpectedly.;9.0
Brilliant;9.0
Good location, friendly staff, big emphasis on health and well being;7.0
Good central hotel;8.3
Superb;9.0
Well maintained with high quality furniture and fittings.;9.0
Absolute Gem of a hotel staff were super helpful;9.0
Good;7.5
Good;7.5
Good;7.0
Good;7.0
we love this hotel .;8.0
Pleasant;6.0
Disappointing;4.0
interesting plumbing. small room;6.0
Pleasant;6.0
No complains truly, great for a short stay! Friendly staff, great facilities and love the aesthetic/concept of the h;10
Disappointing;4.0
homely stay with sustainability efforts;10
mediocre;6.0
a cozy stay in a beautiful hotel in the Paddington area;10
could have been better;6.0
My new go-to hotel in London;10
Cold + Noisy.;2.0
overpriced for just decent services;6.0
Small rooms with smells from sewer, but cute design.;5.0
Underwhelming and overpriced;1.0
a brilliant find in a quiet part of central London. very comfortable, beautifully designed.;10
Disappointing;4.0
very welcoming team at this hotel but bedroom very basic for the price and not at all what we thought we had booked.;6.0
glad it was only one night;4.0
can be improved;6.0
Basic facilities but good location;4.0
A pleasant stay on first arrival to the city for a short amount of time.;6.0
we will come again!;10
Ok, nothing more;5.0
I'll be back (again);10
Bad experience;1.0
Lovely Location, Tricky Front Door for Accessibility;6.0
the rooms are suitable for solo travelers. it’s a clean hotel and located north of the hyde park (walking distance);10
nice idea but the hotel has no idea on hospitality;2.0
disappointing;1.0
Why do they allocate poor rooms when better ones are available?;6.0
heartwarming kindness from staff with my two children;10
seriously recommend this hotel to all. excellent;10
under expectation;6.0
pretty good but not great;6.0
Stay away from this hotel!!!;1.0
Passable;5.0
Exceptional;10
wonderful!;10
nice facilities but noisy;6.0
Very disappointed;3.0
Tiny room was not good value for money;6.0
Pleasant;6.0
Disappointing!;6.0
ok for a single would not recommend for family stay.  traveled with 9 month old baby and it very hard as falls fire alar;3.0
Pleasant;6.0
Exceptional;10
A wonderful hotel in one of the best areas of London. I will definitely come back for a visit;10
It will not be the last stay and would recommend it to anyone;10
excellent;10
Quiet. Stylish. Hot. No smiles. Good luck finding your room!;6.0
clean, good location but way too small room;5.0
it is one of the best places that I’ve stayed at in London.;10
convenient if you’re a tourist travelling by train. If not, don’t.;6.0
Wow…this is small.;5.0
Passable;5.0
Lovely stay close to Paddington Station;10
it was a beautiful experience, the place was very relaxing and eco-friendly! highly recommend!;10
won’t be returning. already cancelled future booking;1.0
Pleasant;6.0
great property will stay again;10
Exceptional;10
its a good hotel with great ambience, closer to oxxford street;10
rooms not as advertised.;5.0
excelent value;10
Exceptional;10
ok , wouldn’t recommend for the ££;5.0
Exceptional;10
Passable;5.0
second stay. very lovely place. I most certainly recommend it .;10
Pleasant;6.0
The location was great. The room is on the smaller size but perfect for sleeping in. The room was very clean and the sta;10
Perfect Stay in London;10
Exceptional;10
Would definitely stay again and recommend to family, friends and colleague’s;10
Perfect dog friendly hotel.;10
Terrible value for money, and poor service;2.0
This is my second stay at the hotel and will be my last. I was last here just as London was going into lockdown and spen;3.0
Pleasant;6.0
Pleasant;6.0
Passable;5.0
Great location especially when you want to go to Little Venice;10
I booked a large room with a double bed, they gave me a room with three beds and then exchanged it for a room with two s;1.0
nice stay;10
Poor;1.0
Pleasant;6.0
It’s a shame about the bedrooms.;6.0
Exceptional;10
Exceptional;10
?? great stay;10
Have nothing special to say really.;3.0
Amazing!;10
never visit again;2.0
Awesome place in all aspects except the noise from floors above.;5.0
Disappointing;4.0
I really enjoyed and durin my staying beside the staff was corporate and so friendly.;10
A disappointment;2.0
Not valuable;5.0
my place in London from now on!;10
Brilliant;10
Ok;5.0
excellent place to stay. will look to book again.;10
Extremely comfortable, good location, friendly reception - would def stay again;10
I would definitely come back for another stay :);10
Relaxing;10
not great;6.0
would stay again;3.0
Can I come back tomorrow please?! (10/10);10
Pleasant;6.0
Given smaller room while paying for Deluxe Room. Staff very rude and not supportive.;2.0
Pleasant;6.0
very expensive hostel rather than a 4-star hotel;4.0
Wonderful Location, Great and professional staff :);10
absolutely incredible!;10
Pleasant;6.0
Bad;1.0
excellent location and really nice hotel;10
Exceptional;10
Exceeded my expectations;10
Disappointed;5.0
Little disappointed with room size and the mattress was not comfortable at all.;4.0
Would only book king room otherwise, room too small.;6.0
Disappointing;4.0
fantastic;10
Not good value for money;5.0
Exceptional;10
Pleasant;6.0
liked the hotel and location. staff good - there were lots of them.;6.0
Great value for money - close to Paddington Station;10
overall great stay, highly recommended;10
Amazing, would for sure stay at the hotel again.;10
Bad;1.0
lovely little place with great potential but needs more training of vibe and philosophy/ culture into staff and atmo;5.0
Lovely hotel facilities, shame about some of the staff.;6.0
We’ll surely be back.;10
Very poor;2.0
Pleasant;6.0
i loved it;10
The eco credentials were less ecological and more economic;4.0
Lovely stay, rooms and staff;10
Exceptional;10
Not worth the price.;4.0
Exceptional;10
close to Hyde Park and some good restaurants;6.0
Poor;3.0
Disappointing;4.0
Compact and luxurious. incredible value and lovely people;10
Lousy hotel;1.0
Not that great of a stay.;5.0
Good location. Nice decor of hotel, No services in room, Ridiculously high Room Tariff.;6.0
Exceptional;10
Queen size bed .. Not really!;4.0
Disappointing;4.0
exceptional stay;10
Pleasant;6.0
A good stay and really like the ethos of the hotel but rooms are ridiculously small and cafe is poor;6.0
AC broken and bathroom toooo small;4.0
Passable;5.0
Disappointing;4.0
Clean but tiny rooms and the;4.0
Fabulous location. Super clean & modern. Tiny room.;6.0
Overall wouldn’t recommend spending $200 at a place like this when there are much better options.;3.0
The room is very small and not worth for money;1.0
A peaceful weekend in the middle of a busy city.;10
"Generally OK but poor value; some issues unacceptable at any price.";4.0
I would definitely stay there again.;10
Don't book this hotel, it's a disaster!;1.0
Nice hotel, needs more/better staff in restaurant.;6.0
Great location and rooms upstairs, but need tea making facilities and trained staff in the cafe.;6.0
Unhelpful at reception.;1.0
Good if you take a room as a single. Avoid breakfast in the hotel.;5.0
pity to ruin a two day trip in London over this …;4.0
Disappointing;4.0
Would not return but visit London regularly;3.0
Could do better with some minor changes.;6.0
Great location - however, room was tiny.;6.0
lovely comfortable one night stay! will definitely be back. Thank you!;10
Pleasant;6.0
Great location in London.;6.0
Lovely place;10
comming back;10
Passable;5.0
Great sized room, great location;10
short, sweet and simple;10
"Felt cheated, this hotel obviously works on the principle ""buyer beware"" our rooms are tiny but you";4.0
Tiny Room, Very Poor Value, Can’t Recommend.;3.0
Ok experience but small room;6.0
Passable;5.0
just what we wanted;10
Near Paddington Station;5.0
The staff are fantastic and make this an exceptional hotel.;10
Fabulous staff and fabulously decorated;10
Nice hotel;6.0
enjoyable stay. will be back.;10
Nice decor, not impressed with the staff or long term water temperature issues.;6.0
Wouldn't recommend;2.0
Well located hotel spoiled by staff attitude;5.0
the biggest bummer of my trip;6.0
it was an ok stay but I wouldn’t stay there again.;5.0
Poor !;3.0
an amazing stay in a little haven;10
Pleasant;6.0
Tranquil stay in Paddington area;10
Great hotel, will defy be back;10
best personal, location, facilities and design;10
Loved my stay would absolutely return;10
A lovely place for the perfect vacation.;10
Staff couldn’t care less, over priced hippy commune;3.0
Disappointing;4.0
Nice place and people but ridiculously small room with double bed against a wall;4.0
I had a wonderful stay!;10
wonderful, restful and friendly.;10
Don't rely on what the hotel says it can do for you.;1.0
Vey basic hotel;3.0
A nice looking box not a room in a 4 star hotel;6.0
we like it, and  will come back again for sure.;10
Exceptional;10
Passable;5.0
Perfect;10
a good stay;6.0
A lovely retreat within the heart of the city, which is quite an accomplishment;10
spoilt by breakfast which on paper looked very interesting.;5.0
Pleasant;6.0
Never staying in this hotel;2.0
it was ok. For the price - you don’t get much for your money.;5.0
felt uncomfortable as a solo traveller.;3.0
Pleasant;6.0
aesthetic & comfortable oasis in the middle of the vibrant city;10
lovely trip to London;6.0
Exceptional;10
Lovely vibe and amenities but misleading room descriptions and incredibly small room size with no exterior windows means;4.0
most comfortable bed ever;10
Great location, great staff pity about the soundproofing.;4.0
Small rooms but nice design;6.0
Passable;5.0
OK stay;5.0
Decent hotel but not worth the price.;6.0
Higly recommended!;10
Pleasant stay, lovely staff - wouldn’t stay again;6.0
A waste of space of a hotel;4.0
Small room was disappointing;6.0
Pleasant;6.0
beautiful hotel . very good location;10
Passable;5.0
disappointing;4.0
Exceptional stay to enjoy a wellness getaway!;10
Fake window, impossible to sleep due to noise, shower temperature changes itself to boiling :(;2.0
Great;10
Pleasant;6.0
not a good experience;3.0
Pleasant;6.0
loved it!!!;10
Passable;5.0
good location, not the most comfortable stay;6.0
Exceptional;10
Wonderful hotel;10
Not really up to standard, promises a lot but doesn’t deliver;3.0
Very comfortable Accommodations. Easily walkable from Paddington station.;10
Exceptional;10
Nice but too noisy;4.0
Exceptional;10
Poor value for money amd;4.0
was shifted to a room that had a machine (water heater or something) direct next to it - could not really sleep as this;3.0
I arrived as a solo traveller on a self care break. hotel was a perfect retreat. I highly recommend it.;10
Exceptional;10
avoid the basement rooms;4.0
Perfect for what I wanted. Easy access to Paddington and Heathrow;10
Fantastic;10
A very happy, comfortable and convenient stay for us with lovely healthy breakfast options.;10
hugely disappointing;1.0
Ok for not a room for 2 people -;6.0
disappointing;4.0
joyful !;10
Cozy Design Boutique Hotel in a quiet area where you feel like home and the staff is your family.;10
Exceptional;10
Not as expected.;6.0
Very small;6.0
perfect for a boutique city escape!;10
Fabulous Property;10
It’s a “ new age” type of hotel, for short term stay it’s probably ok but definitely not for longer stay.;5.0
never reconsider;4.0
Disappointing;4.0
Overall I love the product but the execution doesn’t work without a consistently good standard of customer service and b;6.0
Stressful;5.0
Pleasant;6.0
Disappointing;4.0
very bad experience;4.0
Very disappointing from a comfort level;5.0
Worth to booking again;10
Good location, but very noisy rooms, and poor design.;4.0
Exceptional;10
Beautiful wholesome place;10
Exceptional;10
Lovely and calm, home from home;10
Pleasant;6.0
horror hotel;1.0
Incredible hotel with great staff and delicious breakfasts;10
Can't wait for an excuse to visit again... and I'll be giving short breaks away as presents.;10
Good location;6.0
Exceptional;10
Poor;3.0
Beautifully designed compact rooms.;10
Exceptional;10
Overpriced hotel;5.0
great service and hotel!;10
okayish;3.0
Definitely be using the hotel again;10
We love this Hotel;10
Awful...;3.0
Passable;5.0
Handy location for my work needs during this stay and I MAY stay again now that I know the serviced.;3.0
Exceptional;10
very poor….very overpriced. I wouldn’t stay there at half the price;3.0
Disappointing;4.0
Pleasant;6.0
If you wanna stay in London just for 2 nights, you can book this hotel, for longer - NO;6.0
disappointing. cafe for breakfast was still lovely.;6.0
Stayed here for 3 nights, amazing experience with friendly staff and a comfortable bed;10
Great stay;10
great hotel let down by cancellation procedure during storm Eunice;1.0
Passable;5.0
I thouroughly recommend this hotel and I will visit again.;10
Passable;5.0
Perfect value for money stay in central London;10
great wee place;10
disappointed;6.0
Design focused convenience.;10
making an effort to provide sustainable hotel.;4.0
Won't stay anywhere else in London!;10
Bad;1.0
Meh;3.0
Would give it a miss in future;5.0
'Style' over substance.;4.0
Excellent stay at Inhabit;10
Lovely little hotel;10
Exceeded our expectations.;10
Pleasant;6.0
it was nice and conveniently located;6.0
very nice and cosy????????;10
peaceful and rejuvenating stay in great location, fab food;10
Passable;5.0
DONT STAY.;1.0
Passable;5.0
Sublime!;10
Fantastic!;10
Exceptional;10
Quickie without a brekkie;10
Rooms good. Front desk service needs improvement;5.0
Ok;6.0
Brilliant. Great hotel and excellent staff.;10
Its looks nice but it's just another cheap hotel underneath.;4.0
Excellent;10
Feeling like at home x;10
it was a very nice stay at the hotel and the staff very nice and I would like to stay again in the future;10
comfortable;10
Exquisite slice of heaven;10
frustating;5.0
the worst sleep I have ever had;1.0
Exceptional;10
Exceptional;10
Great little hotel;10
Exceptional;10
I had a great walking holiday in London combined with stress free work commitments.;10
Uncomfortable stay in a room.;4.0
perfect location, great service, great atmosphere great value.;10
it was ok hotel;5.0
Passable;5.0
Relaxed and worry-free stay;10
Exceptional;10
Love;10
my stay was wonderful;10
Exceptional;10
totally zen like;10
would not stay again;4.0
Great stay;10
great location, friendly staff and very modern.;10
loved it!!;10
perfect;10
beautiful design but few things missing for the money;4.0
Exceptional;10
The perfect place to stay it’s all you need;10
I’m extremely disappointed with my stay. cramped accommodations not fit for anyone;2.0
Very poor;2.0
Poor;3.0
Exceptional;10
it did the job for one night.;6.0
Pathetic;1.0
ok Hotel with horrible service;3.0
Exceptional;10
nice location .Shame the room was so small .;6.0
I will stay again. Excellent value and beautiful design and decor!;10
Exceptional;10
We had a very comfortable, fun, chilled stay;10
nice hotel;6.0
Enjoyable stay in this well priced, well located, well thought out impeccable designed hotel;10
Great Hotel Facilities but too noisy to sleep.;5.0
Passable;5.0
Supposed to be nice and Eco but it was claustrophobic without window.;4.0
room too small, couldn't wait to get out of it.;5.0
would not recommend;6.0
I like the concept and it has potential, but could do with some tweaking. Lots of little issues so I wouldn’t stay here;6.0
Exceptional;10
never again would I stay here;2.0
The antidote I needed.;10
I wish I had the same experience as my friends did… real shame. don’t stay in room LG009;2.0
Passable;5.0
Modern hotel, no window in my room, free tea and coffee, good working space.;6.0
Lovely hotel close to Paddington, staff, room and facilities were all great. Will definitely return.;10
The concept of this hotel is good. Single room was the size of a large cupboard!;4.0
absolutely perfect stay. best hotel;10
AMAZING!;10
affordable, good location, comfortable surroundings;6.0
great little hotel in central location at a reasonable price;10
Exceptional;10
Rude staff, uncomfortable room, okay location for one night stay.;4.0
it was alright;6.0
Exceptional;10
Exceptional;10
Nice and pleasant;6.0
Exceptional;10
Exceptional;10
Beautiful, clean and cozy hotel with great staff and food! Special thanks to Angelo who helped us out in all matters!;10
Comfy bed, beautiful hotel just lack of proper facilities;6.0
Perfect weekend at the Inhabit! We will definitely be returning!;10
Exceptional;10
definitely staying here again next time im in London;10
Exceptional;10
clean, modern and friendly staff;10
loved the hotel would definitely stay again the staff were really helpful and friendly amazing selection of À la cart;10
Exceptional;10
Great little homely hotel in a very central location;10
was ok;5.0
Exceptional;10
Underwhelming rooms, lovely staff;6.0
A fabulous central hotel;10
Exceptional;10
Nice!;6.0
never again;3.0
Relax in comfort;10
Incredibly disappointing, staff should be ashamed of the way they speak to guests.;5.0
May be it’s nicer in the photos ,  I wouldn’t recommend;6.0
Exceptional;10
Passable;5.0
Great staff, huge variety between rooms.;5.0
The saga of the windowless room (not to be repeated);2.0
Convenient location for your stay in London.;6.0
Comfortable, welcoming and perfect in everyway. Big fan.;10
Passable;5.0
Misleading, guests forced to fight for 45 mins slot for sauna & gym in mornings & evenings;4.0
Fantastic;10
Pleasant;6.0
brilliant;10
Wished I could have stayed longer and enjoyed the hotel a bit more but work work work!;10
Exceptional;10
lovely hotel and great location;10
pictures are not reality;1.0
clean, comfortable and stylish.;10
London Short Stay;6.0
Beautiful and stylish hotel. Highly recommend!;10
Perfect little find;10
Decently located but attempts mask lack of comfort, space and amenities with 'mindfulness' theme.;6.0
Exceptional;10
Hotel has some issues!;1.0
Good stay;6.0
It doesn’t get any better than this;10
Nice clean place but not what I thought I was getting. Need to be more careful in choosing next time;6.0
Pleasant;6.0
Passable;5.0
Pleasant;6.0
Exceptional;10
Environmentally friendly;5.0
Sleek, minimalist and chilled;10
Worst sleep ever;3.0
Modern Hotel with a special touch in Paddington;10
No window room in the basement;6.0
Great stay;10
absolutely one of the best hotels I've stayed in;10
Good value for money;6.0
Don’t stay here if you are average size or bigger. We could only get into the tiny bed on one side.;4.0
Great hotel, highly recommend;10
Passable;5.0
Exceptional;10
Calm relaxing hotel room with cute little perks;10
Great Location despite noisy road. Premium Communal areas. Small Room;5.0
Fantastic hotel;10
Good hotel but let down by booking.com and the hotel;2.0
Micro living done right;10
Passable;5.0
Exceptional;10
Highly recommend it;10
Great stylish hotel in easy reach of the tube station;10
Pleasant;6.0
Passable;5.0
Exceptional;10
Exceptional;10
First hotel I’ve ever stayed in that had meditation pods but nowhere to leave your luggage!!;6.0
excellent value for money and great location!;10
Nice design of hotel and great price but didn’t have a great nights sleep and no luggage storage.;6.0
A modern eco friendly hotel that is well situated and has polite/friendly staff. We loved it!;10
I will definitely stay here again;10
Good location and good facilities;10
Very poor;2.0
Lovely eco-friendly vibe but the room was let down by the window being on an interior wall;5.0
Exceptional;10
A bit disappointing;5.0
Perfect!;10
Green Key at Budget Prices.;10
Exceptional;10
Exceptional;10
Bad;1.0
Clean and stylish hotel.  Avoid 'cosy' rooms if staying. Lack of luggage storage was inconvenient.;6.0
Stayed at Inhabit for  a 1 night stopver. The hotel.is brand new , everything is absolutely top spec;10
Good for Instagram, not as good for real life;6.0
Amazing! Worth every penny ??;10
WARNING! Serious fire safety breach - consider anywhere else;1.0
Pleasant;6.0
Superb staff at a lovely hotel. Excellent value for money;10
Terrible shower;5.0
terrible stay;4.0
Exceptional;10
Do not recommend;3.0
Beautiful, friendly hotel;10
Great value for price very clean and environmentally conscious;10
Amazing !;10
EXCEPTIONAL;10
Nice hotel;10
Pleasant;6.0
Very poor;2.0
Pleasant;6.0
Absolutely beautiful hotel with really thoughtful extras! And a 15 min walk from Oxford Street!;10
Perfect stay;10
Zen;10
Passable;5.0
Family trip to London.;10
Very poor;2.0
No hesitation in recommending it;10
Passable;5.0
Prositutes outside hotel entrance;4.0
Pleasant and worth the price;6.0
A Haven in London.;10
Perfect really great find in that area near Paddington;10
Passable;5.0
Exceptional;10
Exceptional service amazing staff and stunning cleanliness.;10
Best hotel to stay London;10
Highly recommended;10
The best;10
Exceptional;10
Disappointing;4.0
Exceptional;10
Best stay in London;10
The front desk people were so helpful and nice!;10
Average but worth the price;6.0
